Sitename: Willow Creek Wisconsin USA
Location: Latitude: 45.9059  Longitude: -90.0799  Elevation (masl): 515
Principal investigator: Ankur Desai
Ecosystem type: DBF Deciduous Broadleaf Forest
File creation date: 11MAY2011
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2005,0,4.95833,4,2300,0.49,-14.219,21.031,2.387,0.12,0.04,0.081,4.622,-6999,-0.718,-6999,2.63,0.42,0,1.066,5,0,100,96.497,383.185,0,31.792,31.243,-14.711,0,0,-6999,-6999,0.583,241.165,255.295,1.83,0.494,0,383.177,29.6,-6999,-9999,-6999,-6999
2005,0,4.97917,4,2330,0.47,-14.01,27.208,2.601,0.19,0.479,-0.288,5.102,-6999,-1.206,-6999,2.671,0.357,0,1.012,5,0,100,96.519,382.769,0,31.77,31.241,-14.473,0.001,0,-6999,-6999,0.552,242.168,256.09,1.844,0.478,0,382.748,29.6,-6999,-9999,-6999,-6999
2005,0,5.00000,5,000,0.597,-13.866,20.854,2.559,0.178,0.414,-0.236,0.45,-6999,-0.368,-6999,2.63,0.41,0,1.062,5,0,100,96.539,382.446,0,31.747,31.239,-24.649,0,0,-6999,-6999,0.632,232.023,256.042,1.794,0.493,0,382.38,29.6,-6999,-9999,-6999,-6999
2005,0,5.02083,5,030,0.529,-13.888,15.943,2.605,1.632,1.348,0.284,13.588,-6999,-0.706,-6999,2.713,0.273,0,0.91,5,0,100,96.563,382.874,0,31.725,31.237,-34.432,0.001,0,-6999,-6999,0.759,221.795,255.47,1.733,0.448,0,382.725,29.6,-6999,-9999,-6999,-6999
2005,0,5.04167,5,100,0.419,-14.12,21.379,2.892,0.892,1.185,-0.292,5.946,-6999,0.621,-6999,3.798,0.035,0,0.661,5,0,100,96.514,382.399,0,31.703,31.237,-56.537,0.023,0,-6999,-6999,1.22,197.883,253.2,1.707,0.382,0,382.623,29.6,-6999,-9999,-6999,-6999
2005,0,5.06250,5,130,0.42,-14.431,23.762,2.432,0.097,-0.053,0.15,-6.14,-6999,-0.358,-6999,4.382,0.112,0,0.741,5,0,100,96.481,382.658,0,31.678,31.234,-62.973,0.002,0,-6999,-6999,1.425,189.73,251.279,1.704,0.402,0,382.607,29.6,-6999,-9999,-6999,-6999
2005,0,5.08333,5,200,0.421,-14.775,26.759,2.366,-0.065,-0.376,0.312,-14.478,-6999,0.929,-6999,4.257,0.371,0,1.003,5,0,100,96.501,383.02,0,31.654,31.232,-72.624,0.001,0,-6999,-6999,1.765,178.077,248.937,1.699,0.475,0,383.015,29.6,-6999,-9999,-6999,-6999
2005,0,5.10417,5,230,0.376,-15.11,33.038,1.822,0.048,-0.019,0.068,-14.066,-6999,-0.849,-6999,4.007,0.412,0,1.035,5,0,100,96.533,383.008,0,31.631,31.23,-66.117,0,0,-6999,-6999,1.698,182.758,247.178,1.698,0.485,0,382.958,29.6,-6999,-9999,-6999,-6999
2005,0,5.12500,5,300,0.328,-15.434,27.37,2.43,0.076,0.026,0.05,-11.622,-6999,-0.587,-6999,3.798,0.482,0,1.114,5,0,100,96.527,383.073,0,31.606,31.228,-59.439,0,0,-6999,-6999,1.532,187.767,245.675,1.695,0.509,0,383.051,29.6,-6999,-9999,-6999,-6999
2005,0,5.14583,5,330,0.385,-15.585,26.666,2.497,0.967,0.75,0.217,0.204,-6999,-0.722,-6999,3.631,0.442,0,1.07,5,0,100,96.459,383.213,0,31.581,31.227,-40.645,0,0,-6999,-6999,0.894,206.456,246.208,1.701,0.496,0,383.216,29.6,-6999,-9999,-6999,-6999
2005,0,5.16667,5,400,0.402,-15.782,32.621,2.602,0.872,0.735,0.137,-0.179,-6999,-0.71,-6999,3.381,0.466,0,1.12,5,0,100,96.421,383.436,0,31.554,31.225,-64.901,0,0,-6999,-6999,1.104,181.185,244.983,1.69,0.512,0,383.408,29.6,-6999,-9999,-6999,-6999
2005,0,5.18750,5,430,0.404,-15.986,37.17,2.013,0.129,0.065,0.064,-4.524,-6999,-0.523,-6999,3.381,0.395,0,1.059,5,0,100,96.451,383.673,0,31.527,31.223,-64.084,0,0,-6999,-6999,1.315,180.735,243.505,1.666,0.492,0,383.618,29.6,-6999,-9999,-6999,-6999
2005,0,5.20833,5,500,0.354,-16.241,40.585,2.009,0.493,0.444,0.049,-7.941,-6999,-0.511,-6999,3.256,0.431,0,1.091,5,0,100,96.469,383.79,0,31.5,31.221,-55.588,0,0,-6999,-6999,1.418,187.795,241.966,1.626,0.502,0,383.665,29.6,-6999,-9999,-6999,-6999
2005,0,5.22917,5,530,0.303,-16.559,45.218,1.646,0.446,0.248,0.198,4.425,-6999,0.213,-6999,3.214,0.351,0,1.026,5,0,100,96.447,383.923,0,31.472,31.22,-42.439,0,0,-6999,-6999,1.343,199.626,240.722,1.585,0.482,0,383.922,29.6,-6999,-9999,-6999,-6999
2005,0,5.25000,5,600,0.351,-16.736,41.821,2.12,0.705,0.397,0.309,-0.05,-6999,0.408,-6999,3.131,0.381,0,1.05,5,0,100,96.413,384.091,0,31.442,31.218,-30.34,0,0,-6999,-6999,1.178,211.229,240.393,1.57,0.489,0,384.079,29.6,-6999,-9999,-6999,-6999
2005,-1,5.27083,5,630,0.42,-16.668,40.028,2.119,-9999,-9999,-0.064,-9999,-6999,-9999,-6999,3.131,0.327,0,1.008,5,0,100,96.356,383.928,0,31.412,31.216,-24.331,0,0,-6999,-6999,1.074,217.471,240.729,1.576,0.476,0,383.937,29.6,-6999,-9999,-6999,-6999
2005,0,5.29167,5,700,0.378,-16.719,40.757,1.928,-0.417,-0.41,-0.007,5.106,-6999,0.762,-6999,3.131,0.357,0,1.041,5,0,100,96.442,384.112,0,31.38,31.214,-16.666,0.006,0,-6999,-6999,1.142,225.639,241.164,1.56,0.486,0,384.206,29.6,-6999,-9999,-6999,-6999
2005,0,5.31250,5,730,0.301,-16.84,48.716,1.417,0.45,0.402,0.048,4.294,-6999,0.21,-6999,3.131,0.28,0,0.978,5,0,100,96.444,384.322,0,31.347,31.212,-3.97,7.05,7.598,-6999,-6999,3.079,233.815,242.305,1.538,0.467,0,384.382,29.6,-6999,-9999,-6999,-6999
2005,0,5.33333,5,800,0.298,-16.847,61.159,1.433,0.78,0.556,0.225,7.185,-6999,-0.771,-6999,3.131,0.314,0,1.018,5,0,100,96.427,384.55,0,31.314,31.211,7.083,43.914,24.589,-6999,-6999,7.636,233.512,243.383,1.535,0.479,-0.374,384.553,29.6,-6999,-9999,-6999,-6999
2005,0,5.35417,5,830,0.41,-16.642,61.97,1.693,1.44,1.071,0.37,2.837,-6999,-0.38,-6999,3.131,0.246,0,0.961,5,0,100,96.44,384.8,0,31.279,31.209,23.839,79.231,47.488,-6999,-6999,14.235,235.399,244.813,1.557,0.462,-0.374,384.675,29.6,-6999,-9999,-6999,-6999
2005,0,5.37500,5,900,0.41,-16.194,66.93,1.555,0.458,0.907,-0.449,13.592,-6999,-0.635,-6999,2.964,0.286,0,1.004,5,0,100,96.406,384.563,0,31.243,31.207,50.625,154.14,83.549,-6999,-6999,24.718,239.442,247.648,1.604,0.475,-0.374,384.589,29.6,-6999,-9999,-6999,-6999
2005,0,5.39583,5,930,0.54,-15.685,73.722,1.673,-0.709,-0.27,-0.439,26.249,-6999,-0.801,-6999,2.881,0.215,0,0.931,5,0,100,96.442,384.087,0,31.206,31.205,65.013,224.144,104.982,-6999,-6999,30.894,241.734,250.81,1.657,0.453,-0.374,384.168,29.6,-6999,-9999,-6999,-6999
2005,0,5.41667,5,1000,0.386,-15.321,49.598,1.492,0.642,0.652,-0.01,29.125,-6999,1.706,-6999,2.839,0.256,0,0.966,5,0,100,96.432,384.117,0,31.168,31.203,82.737,279.107,134.473,-6999,-6999,38.65,240.035,253.122,1.687,0.464,-0.374,384.089,29.6,-6999,-9999,-6999,-6999
2005,0,5.43750,5,1030,0.484,-14.841,42.543,2.296,0.663,0.696,-0.032,32.109,-6999,-1.512,-6999,2.63,0.19,0,0.894,5,0,100,96.422,384.077,0,31.129,31.201,100.408,344.027,170.325,-6999,-6999,45.402,231.16,255.675,1.695,0.443,-0.374,384.034,29.6,-6999,-9999,-6999,-6999
2005,0,5.45833,5,1100,0.458,-14.253,50.115,1.826,0.439,0.523,-0.084,38.85,-6999,4.972,-6999,2.505,0.237,0,0.935,5,0,100,96.412,383.903,0,31.089,31.199,98.691,356.654,172.164,-6999,-6999,42.824,227.117,257.766,1.682,0.455,-0.374,383.859,29.6,-6999,-9999,-6999,-6999
2005,0,5.47917,5,1130,0.532,-13.826,33.501,2.291,0.806,0.931,-0.124,62.3,-6999,3.943,-6999,2.38,0.166,0,0.868,5,0,100,96.373,383.751,0,31.05,31.198,109.47,361.454,177.283,-6999,-6999,43.803,236.421,260.432,1.685,0.436,-0.374,383.811,29.6,-6999,-9999,-6999,-6999
2005,0,5.50000,5,1200,0.589,-13.612,31.264,2.439,0.03,0.093,-0.062,65.525,-6999,2.716,-6999,2.255,0.209,0,0.902,5,0,100,96.262,383.667,0,31.009,31.196,108.021,360.557,192.14,-6999,-6999,45.903,222.942,261.158,1.7,0.445,-0.374,383.628,29.6,-6999,-9999,-6999,-6999
2005,0,5.52083,5,1230,0.609,-13.529,20.439,2.898,1.584,1.429,0.156,92.701,-6999,3.154,-6999,2.213,0.101,0,0.788,5,0,100,96.19,384.006,0,30.969,31.195,108.272,397.08,197.399,-6999,-6999,46.651,219.201,261.678,1.716,0.414,-0.374,383.704,29.6,-6999,-9999,-6999,-6999
2005,0,5.54167,5,1300,0.486,-13.319,30.009,2.019,0.545,0.804,-0.258,56.516,-6999,1.157,-6999,3.131,-0.131,0,0.537,5,0,100,96.154,383.658,0,30.929,31.193,79.059,324.06,154.022,-6999,-6999,37.165,224.066,261.864,1.713,0.353,-0.374,383.523,29.6,-6999,-9999,-6999,-6999
2005,0,5.56250,5,1330,0.565,-13.158,26.871,2.504,1.144,1.019,0.126,53.47,-6999,3.518,-6999,3.757,-0.033,0,0.605,5,0,100,96.112,383.74,0,30.887,31.191,65.769,273.077,128.243,-6999,-6999,31.417,231.06,262.117,1.725,0.368,-0.374,383.67,29.6,-6999,-9999,-6999,-6999
2005,0,5.58333,5,1400,0.543,-13.063,37.637,2.055,-0.693,-0.186,-0.507,32.322,-6999,1.563,-6999,2.504,0.76,0,1.4,5,0,100,96.032,383.182,0,30.843,31.19,48.341,191.77,86.996,-6999,-6999,21.527,245.171,262.301,1.72,0.611,-0.374,383.412,29.6,-6999,-9999,-6999,-6999
2005,0,5.60417,5,1430,0.427,-12.946,34.158,1.77,1.068,0.676,0.393,26.253,-6999,1.595,-6999,-2.796,2.172,0,2.825,5,0,100,95.993,383.474,0,30.803,31.188,35.887,136.684,64.392,-6999,-6999,16.039,250.225,262.692,1.735,1.504,-0.374,383.524,29.6,-6999,-9999,-6999,-6999
2005,0,5.62500,5,1500,0.456,-12.913,29.699,1.935,0.309,0.688,-0.378,16.841,-6999,3.587,-6999,-2.212,0.526,0,1.184,5,0,100,95.982,383.055,0,30.764,31.187,17.736,91.944,39.201,-6999,-6999,9.87,250.815,262.41,1.735,0.533,-0.374,382.88,29.6,-6999,-9999,-6999,-6999
2005,0,5.64583,5,1530,0.465,-12.881,22.593,1.767,0.444,0.057,0.387,18.43,-6999,0.429,-6999,-1.002,0.112,0,0.773,5,0,100,95.975,383.536,0,30.725,31.186,5.697,46.093,19.204,-6999,-6999,4.885,253.54,262.163,1.769,0.41,-0.374,383.61,29.6,-6999,-9999,-6999,-6999
2005,0,5.66667,5,1600,0.48,-12.944,21.761,1.818,1.013,0.83,0.183,11.371,-6999,0.742,-6999,-0.25,0.157,0,0.815,5,0,100,95.966,383.88,0,30.689,31.184,-5.028,14.865,4.348,-6999,-6999,1.244,253.435,261.567,1.771,0.421,-0.374,383.808,29.6,-6999,-9999,-6999,-6999
2005,0,5.68750,5,1630,0.496,-13.007,22.364,2.118,0.745,0.876,-0.13,11.972,-6999,0.05,-6999,0.209,0.206,0,0.861,5,0,100,95.922,383.667,0,30.655,31.184,-8.562,0.878,0,-6999,-6999,0.249,252.864,261.177,1.778,0.434,0,383.626,29.6,-6999,-9999,-6999,-6999
2005,0,5.70833,5,1700,0.39,-13.034,21.037,1.88,0.57,0.586,-0.015,4.277,-6999,-0.066,-6999,0.585,0.317,0,0.955,5,0,100,95.881,383.634,0,30.624,31.184,-6.842,0,0,-6999,-6999,0.166,254.356,261.033,1.794,0.46,0,383.585,29.6,-6999,-9999,-6999,-6999
2005,0,5.72917,5,1730,0.398,-13.026,32.997,2.167,0.173,0.207,-0.033,5.887,-6999,-0.195,-6999,0.752,0.288,0,0.92,5,0,100,95.87,383.587,0,30.593,31.184,-5.979,0,0,-6999,-6999,0.184,255.321,261.118,1.806,0.45,0,383.569,29.6,-6999,-9999,-6999,-6999
2005,0,5.75000,5,1800,0.447,-13.019,32.091,1.868,0.607,0.633,-0.025,3.782,-6999,-0.812,-6999,0.961,0.389,0,1.015,5,0,100,95.838,383.516,0,30.563,31.183,-3.968,0,0,-6999,-6999,0.097,257.289,261.161,1.796,0.478,0,383.518,29.6,-6999,-9999,-6999,-6999
2005,0,5.77083,5,1830,0.395,-13.026,38.645,1.638,0.312,0.22,0.093,4.467,-6999,0.704,-6999,1.002,0.357,0,0.989,5,0,100,95.817,383.698,0,30.533,31.181,-5.253,0,0,-6999,-6999,0.099,256.086,261.242,1.831,0.471,0,383.672,29.6,-6999,-9999,-6999,-6999
2005,0,5.79167,5,1900,0.422,-13.097,36.899,1.86,-0.201,-0.421,0.221,2.53,-6999,-0.847,-6999,1.044,0.436,0,1.05,5,0,100,95.749,384.039,0,30.503,31.179,-11.172,0,0,-6999,-6999,0.18,249.767,260.76,1.868,0.489,0,384.072,29.6,-6999,-9999,-6999,-6999
2005,0,5.81250,5,1930,0.443,-13.181,35.694,1.81,0.185,0.056,0.13,7.153,-6999,-0.288,-6999,1.211,0.386,0,0.992,5,0,100,95.674,384.12,0,30.475,31.178,-9.792,0,0,-6999,-6999,0.226,250.779,260.347,1.9,0.472,0,384.219,29.6,-6999,-9999,-6999,-6999
2005,0,5.83333,5,2000,0.444,-13.221,41.822,2.252,-0.498,-0.505,0.008,-0.213,-6999,1.808,-6999,1.169,0.467,0,1.067,5,0,100,95.667,384.235,0,30.445,31.175,-3.675,0,0,-6999,-6999,0.066,256.861,260.471,1.908,0.494,0,384.079,29.6,-6999,-9999,-6999,-6999
2005,0,5.85417,5,2030,0.522,-13.328,36.947,2.041,0.143,0.209,-0.066,6.552,-6999,0.165,-6999,1.253,0.393,0,0.999,5,0,100,95.608,384.019,0,30.414,31.174,-7.217,0,0,-6999,-6999,0.071,253.002,260.149,1.923,0.474,0,384.079,29.6,-6999,-9999,-6999,-6999
2005,0,5.87500,5,2100,0.477,-13.491,35.312,1.974,-0.681,-0.704,0.024,-1.215,-6999,0.165,-6999,1.253,0.476,0,1.061,5,0,100,95.524,384.119,0,30.375,31.173,-44.58,0,0,-6999,-6999,0.721,214.086,257.946,1.925,0.493,0,384.152,29.6,-6999,-9999,-6999,-6999
2005,0,5.89583,5,2130,0.22,-13.792,51.75,1.048,-0.128,-0.269,0.142,-6.581,-6999,1.282,-6999,1.253,0.406,0,0.992,5,0,100,95.52,384.361,0,30.337,31.171,-58.915,0,0,-6999,-6999,1.525,197.369,254.76,1.906,0.472,0,384.327,29.6,-6999,-9999,-6999,-6999
2005,0,5.91667,5,2200,0.262,-13.998,30.315,1.898,0.235,-0.003,0.238,1.781,-6999,-0.274,-6999,1.253,0.487,0,1.075,5,0,100,95.502,384.328,0,30.303,31.169,-7.434,0,0.049,-6999,-6999,0.56,249.061,255.985,1.906,0.497,0,384.279,29.6,-6999,-9999,-6999,-6999
2005,0,5.93750,5,2230,0.4,-13.988,31.411,1.851,0.432,0.554,-0.121,7.098,-6999,-0.612,-6999,1.253,0.415,0,1.001,5,0,100,95.458,384.308,0,30.27,31.166,-8.11,0,0,-6999,-6999,0.241,249.059,256.929,1.917,0.474,0,384.25,29.6,-6999,-9999,-6999,-6999
2005,0,5.95833,5,2300,0.316,-14.001,38.918,1.544,-0.084,0.247,-0.33,0.653,-6999,-0.081,-6999,1.253,0.496,0,1.085,5,0,100,95.434,384.125,0,30.239,31.164,-15.201,0,0,-6999,-6999,0.377,241.978,256.803,1.918,0.5,0,384.035,29.6,-6999,-9999,-6999,-6999
2005,0,5.97917,5,2330,0.296,-14.013,63.391,1.571,0.541,0.63,-0.089,-0.884,-6999,-0.253,-6999,1.253,0.415,0,1.009,5,0,100,95.379,383.821,0,30.21,31.163,-9.98,0,0,-6999,-6999,0.306,247.362,257.036,1.923,0.477,0,383.86,29.6,-6999,-9999,-6999,-6999
2005,0,6.00000,6,000,0.316,-14.039,68.495,1.078,-0.198,-0.097,-0.101,-0.977,-6999,0.309,-6999,1.253,0.491,0,1.073,5,0,100,95.292,383.722,0,30.181,31.163,-4.119,0,0,-6999,-6999,0.112,253.357,257.366,1.931,0.497,0,383.778,29.6,-6999,-9999,-6999,-6999
2005,0,6.02083,6,030,0.272,-14.017,68.172,1.096,0.463,0.558,-0.094,1.799,-6999,0.249,-6999,1.545,0.241,0,0.835,5,0,100,95.24,383.802,0,30.152,31.159,-2.111,0.005,0,-6999,-6999,0.07,255.746,257.787,1.942,0.427,0,383.682,29.6,-6999,-9999,-6999,-6999
2005,0,6.04167,6,100,0.289,-14.012,55.877,1.205,0.361,0.883,-0.521,4.271,-6999,1.001,-6999,2.839,-0.131,0,0.449,5,0,100,95.211,382.922,0,30.123,31.159,-3.147,0.064,0,-6999,-6999,0.061,254.825,257.912,1.947,0.333,0,382.802,29.6,-6999,-9999,-6999,-6999
2005,0,6.06250,6,130,0.265,-14.064,68.889,1.068,0.548,0.194,0.355,2.36,-6999,0.585,-6999,3.298,0.071,0,0.657,5,0,100,95.147,383.422,0,30.094,31.157,-2.7,0.004,0,-6999,-6999,0.039,255.268,257.93,1.947,0.381,0,383.253,29.6,-6999,-9999,-6999,-6999
2005,0,6.08333,6,200,0.224,-14.031,40.722,1.004,0.812,0.69,0.123,2.715,-6999,0.936,-6999,2.713,0.533,0,1.113,5,0,100,95.111,383.607,0,30.066,31.157,-3.15,0,0,-6999,-6999,0.106,254.975,258.02,1.953,0.509,0,383.605,29.6,-6999,-9999,-6999,-6999
2005,0,6.10417,6,230,0.322,-13.992,34.086,1.355,0.536,0.71,-0.174,6.392,-6999,0.3,-6999,2.296,0.548,0,1.134,5,0,100,95.064,383.248,0,30.038,31.153,-3.109,0,0,-6999,-6999,0.104,255.204,258.21,1.953,0.516,0,383.252,29.6,-6999,-9999,-6999,-6999
2005,0,6.12500,6,300,0.236,-13.903,39.597,1.286,0.251,0.255,-0.004,2.615,-6999,0.871,-6999,1.962,0.613,0,1.198,5,0,100,95.01,383.382,0,30.01,31.149,-3.127,0,0,-6999,-6999,0.138,255.539,258.53,1.957,0.538,0,383.384,29.6,-6999,-9999,-6999,-6999
2005,0,6.14583,6,330,0.194,-13.784,80.423,0.649,0.146,0.066,0.081,0.131,-6999,0.048,-6999,1.712,0.523,0,1.111,5,0,100,94.979,383.42,0,29.977,31.148,-3.186,0,0,-6999,-6999,0.21,255.926,258.903,1.977,0.509,0,383.316,29.6,-6999,-9999,-6999,-6999
2005,0,6.16667,6,400,0.164,-13.704,112.873,0.433,0.31,0.365,-0.055,2.199,-6999,-0.126,-6999,1.545,0.574,0,1.162,5,0,100,94.944,383.301,0,29.943,31.146,-2.891,0,0,-6999,-6999,0.179,256.399,259.112,1.997,0.525,0,383.134,29.6,-6999,-9999,-6999,-6999
2005,0,6.18750,6,430,0.183,-13.672,29.263,0.704,0.519,0.52,0,2.022,-6999,0.138,-6999,1.503,0.489,0,1.081,5,0,100,94.9,383.357,0,29.914,31.145,-2.789,0,0,-6999,-6999,0.143,256.474,259.121,2.014,0.499,0,383.276,29.6,-6999,-9999,-6999,-6999
2005,0,6.20833,6,500,0.116,-13.65,16.673,0.565,0.45,0.354,0.097,1.557,-6999,0.138,-6999,1.503,0.539,0,1.121,5,0,100,94.884,383.415,0,29.886,31.144,-2.482,0,0,-6999,-6999,0.148,256.588,258.923,2.036,0.512,0,383.508,29.6,-6999,-9999,-6999,-6999
2005,0,6.22917,6,530,0.147,-13.636,34.168,0.873,0.301,0.306,-0.004,0.649,-6999,-0.339,-6999,1.462,0.46,0,1.037,5,0,100,94.868,383.383,0,29.858,31.142,-1.743,0,0,-6999,-6999,0.111,256.678,258.311,2.053,0.485,0,383.381,29.6,-6999,-9999,-6999,-6999
2005,0,6.25000,6,600,0.172,-13.631,25.692,1.371,-0.043,-0.096,0.053,-0.745,-6999,-0.344,-6999,1.295,0.503,0,1.083,5,0,100,94.85,383.504,0,29.832,31.142,-1.488,0,0,-6999,-6999,0.13,256.581,257.94,2.063,0.5,0,383.574,29.6,-6999,-9999,-6999,-6999
2005,0,6.27083,6,630,0.265,-13.64,23.395,1.48,0.436,0.435,0.002,-0.941,-6999,-0.063,-6999,1.253,0.449,0,1.026,5,0,100,94.828,383.465,0,29.805,31.14,-1.298,0,0,-6999,-6999,0.175,256.505,257.629,2.069,0.482,0,383.519,29.6,-6999,-9999,-6999,-6999
2005,0,6.29167,6,700,0.253,-13.606,8.99,1.648,0.264,0.122,0.142,2.954,-6999,-0.43,-6999,1.253,0.509,0,1.08,5,0,100,94.813,383.65,0,29.778,31.139,-1.625,0,0,-6999,-6999,0.3,256.593,257.92,2.078,0.499,0,383.611,29.6,-6999,-9999,-6999,-6999
2005,0,6.31250,6,730,0.263,-13.539,23.712,1.026,0.249,0.374,-0.124,0.427,-6999,0.227,-6999,1.253,0.454,0,1.022,5,0,100,94.785,383.532,0,29.753,31.138,1.031,2.625,3.991,-6999,-6999,1.452,256.974,258.482,2.091,0.481,0,383.401,29.6,-6999,-9999,-6999,-6999
2005,0,6.33333,6,800,0.174,-13.42,11.051,0.652,0.295,0.42,-0.125,2.266,-6999,0.349,-6999,1.253,0.502,0,1.074,5,0,100,94.786,383.411,0,29.726,31.136,9.195,15.727,15.435,-6999,-6999,4.794,257.66,259.107,2.105,0.497,-0.374,383.257,29.6,-6999,-9999,-6999,-6999
2005,0,6.35417,6,830,0.209,-13.195,346.409,0.9,0.697,0.772,-0.074,11.336,-6999,0.129,-6999,1.253,0.438,0,0.992,5,0,100,94.79,383.326,0,29.698,31.135,29.829,52.105,43.784,-6999,-6999,13.256,259.454,260.153,2.128,0.471,-0.374,383.275,29.6,-6999,-9999,-6999,-6999
2005,0,6.37500,6,900,0.143,-12.924,341.881,0.831,0.266,0.355,-0.088,10.897,-6999,0.531,-6999,1.253,0.498,0,1.052,5,0,100,94.764,383.441,0,29.673,31.134,45.909,89.346,64.643,-6999,-6999,18.992,261.71,261.452,2.152,0.49,-0.374,382.976,29.6,-6999,-9999,-6999,-6999
2005,0,6.39583,6,930,0.127,-12.641,331.41,0.887,0.07,0.197,-0.127,15.727,-6999,1.757,-6999,1.211,0.43,0,0.984,5,0,100,94.737,383.044,0,29.649,31.133,62.556,119.04,85.63,-6999,-6999,24.154,264.207,263.128,2.178,0.469,-0.374,382.982,29.6,-6999,-9999,-6999,-6999
2005,0,6.41667,6,1000,0.213,-12.255,317.208,0.755,0.647,0.634,0.014,27.031,-6999,6.671,-6999,1.086,0.475,0,1.023,5,0,100,94.725,383.007,0,29.626,31.131,93.497,159.647,120.947,-6999,-6999,30.058,266.793,264.186,2.219,0.481,-0.374,383.024,29.6,-6999,-9999,-6999,-6999
2005,0,6.43750,6,1030,0.199,-11.806,322.813,0.992,0.704,0.509,0.195,39.251,-6999,3.429,-6999,1.002,0.405,0,0.936,5,0,100,94.7,383.227,0,29.604,31.131,187.746,245.567,222.003,-6999,-6999,40.02,271.142,265.379,2.233,0.455,-0.374,383.106,29.6,-6999,-9999,-6999,-6999
2005,0,6.45833,6,1100,0.264,-11.119,324.39,1.225,1.505,1.486,0.02,82.923,-6999,10.123,-6999,0.961,0.49,0,1.015,5,0,100,94.654,383.309,0,29.582,31.129,349.255,532.461,410.331,-6999,-6999,68.583,279.54,272.034,2.26,0.479,-0.374,383.338,29.6,-6999,-9999,-6999,-6999
2005,0,6.47917,6,1130,0.256,-10.456,270.804,1.602,1.119,1.323,-0.204,122.479,-6999,12.221,-6999,0.71,0.405,0,0.927,5,0,100,94.588,382.973,0,29.562,31.129,282.564,575.274,343.171,-6999,-6999,66.172,282.006,276.442,2.292,0.452,-0.374,383.036,29.6,-6999,-9999,-6999,-6999
2005,0,6.50000,6,1200,0.379,-10.166,284.199,1.17,0.866,1.264,-0.398,84.62,-6999,0.881,-6999,0.543,0.464,0,0.987,5,0,100,94.541,382.393,0,29.543,31.127,257.132,506.377,326.144,-6999,-6999,71.298,278.813,276.528,2.306,0.47,-0.374,382.401,29.6,-6999,-9999,-6999,-6999
2005,0,6.52083,6,1230,0.365,-9.685,239.502,1.898,1.178,0.771,0.408,67.759,-6999,6.02,-6999,0.71,0.239,0,0.718,5,0,100,94.515,382.906,0,29.521,31.124,162.177,543.047,268.033,-6999,-6999,56.495,227.15,276.511,2.343,0.396,-0.374,383.124,29.6,-6999,-9999,-6999,-6999
2005,0,6.54167,6,1300,0.481,-8.811,226.655,2.417,0.397,0.77,-0.373,136.753,-6999,7.492,-6999,1.879,-0.119,0,0.377,5,0,100,94.486,382.405,0,29.508,31.126,213.309,664.454,362.538,-6999,-6999,72.89,204.122,280.461,2.388,0.319,-0.374,382.456,29.6,-6999,-9999,-6999,-6999
2005,0,6.56250,6,1330,0.682,-8.23,242.03,2.614,2.549,3.01,-0.461,133.355,-6999,21.434,-6999,2.254,0.136,0,0.606,5,0,95.847,94.485,381.75,0.014,29.491,31.124,156.523,613.724,296.431,-6999,-6999,58.46,198.978,280.425,2.346,0.369,-0.374,381.622,29.6,-6999,-9999,-6999,-6999
2005,0,6.58333,6,1400,0.644,-8.431,236.233,3.032,-0.236,-0.199,-0.037,76.506,-6999,0.884,-6999,1.795,0.557,0,1.03,5,0,94.546,94.486,381.738,0.018,29.477,31.122,98.678,461.394,226.627,-6999,-6999,46.727,195.78,277.002,2.343,0.483,-0.374,381.571,29.6,-6999,-9999,-6999,-6999
